Column1,date,temperature_2m_max,temperature_2m_min,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration
0,1/1/1950 2:00,-0.16375,-4.355417,19761.662,0.083333336,14.410975
1,1/2/1950 2:00,4.5445833,-2.7470834,7741.8267,4.3333335,24.274849
2,3/1/1950 2:00,0.23625004,-7.705417,25016.467,0.21666668,10.503711
3,3/2/1950 2:00,1.2112501,-7.1804166,30359.367,0.083333336,11.052758
4,3/3/1950 2:00,3.6029167,-6.455417,32220.734,0.29999998,12.135287
5,3/4/1950 2:00,5.68625,-1.8887501,13939.015,0.7166667,11.798608
6,3/5/1950 2:00,7.0695825,-0.14708328,12727.703,0.033333335,11.580884
7,3/6/1950 2:00,10.977917,0.9862501,27911.88,0,14.048298
8,3/7/1950 2:00,10.819583,0.36124995,24778.836,0,11.587621
9,3/8/1950 2:00,10.052917,0.86125,16179.3,0.16666667,13.800391
10,3/9/1950 2:00,8.002917,2.4445834,14083.392,1.1,11.949912
11,3/10/1950 2:00,6.519583,1.2445832,13420.603,4.316666,20.258074
12,3/11/1950 2:00,5.4529166,0.76125,16417.547,1.4500003,27.151031
13,3/12/1950 2:00,6.7529163,1.16125,31318.078,3.2666667,31.867456
14,3/13/1950 2:00,5.7279167,-1.0554167,33648.77,1.3166665,20.593222
15,3/14/1950 2:00,6.86125,-2.6137502,32798.613,0.083333336,15.024768
16,3/15/1950 2:00,10.244583,0.061249953,31712.271,0.3166667,12.006734
17,3/16/1950 2:00,13.619583,0.9529167,36431.004,0.083333336,17.99808
18,3/17/1950 2:00,14.977917,4.23625,25846.984,2.3833334,22.105774
19,3/18/1950 2:00,14.544583,6.7279162,37551.953,0.48333332,23.496344
20,3/19/1950 2:00,14.919582,4.3695836,31708.838,0.033333335,18.394995
21,3/20/1950 2:00,12.744583,4.26125,30288.982,0.18333334,13.937551
22,3/21/1950 2:00,12.052917,3.644583,21573.584,1.3166667,10.263809
23,3/22/1950 2:00,12.319583,3.1029167,23582.49,0.5333333,8.762153
24,3/23/1950 2:00,12.944584,4.1779165,31645.99,0.5333333,9.254822
25,3/24/1950 2:00,13.577916,3.9862502,21403.092,2.6666667,17.228094
26,3/25/1950 2:00,9.51125,5.0445833,6894.514,0.78333324,15.2697935
27,3/26/1950 2:00,10.852916,3.53625,24717.107,0.21666668,14.861056
28,3/27/1950 3:00,12.044583,0.9779167,38137.24,0,12.735459
29,3/28/1950 3:00,11.827916,0.8279167,33827.62,0,12.447232
30,3/29/1950 3:00,9.244583,1.3195833,29451.236,0.5,13.268463
31,3/30/1950 3:00,8.744583,1.8945833,23819.117,0.3,14.288105
32,3/31/1950 3:00,8.727916,-0.56374997,27490.814,0.016666668,12.700879
33,4/1/1950 3:00,9.919583,2.2195833,19111.14,0.5833333,21.276796
34,4/2/1950 3:00,9.977917,4.2029166,14386.634,6.9,26.44176
35,4/3/1950 3:00,9.63625,2.8445833,37211.473,1.9666666,17.373074
36,4/4/1950 3:00,8.977916,1.6779166,35400.09,1.9166666,16.221931
37,4/5/1950 3:00,9.869583,1.0862501,31675.992,3.0999997,19.058725
38,4/6/1950 3:00,10.594583,1.8112501,38310.56,1.4499999,14.183414
39,4/7/1950 3:00,12.71125,-0.23041666,41618.234,0.05,11.429034
40,4/8/1950 3:00,17.477917,1.8279166,37728.395,0.23333333,20.345388
41,4/9/1950 3:00,15.277916,5.619583,25894.338,3.833333,31.31074
42,4/10/1950 3:00,9.502916,4.1029162,33582.24,5.416666,32.435673
43,4/11/1950 3:00,9.569583,3.78625,35645.56,6.6499996,31.913157
44,4/12/1950 3:00,11.202916,2.6945832,33303.887,3.4833329,17.679802
45,4/13/1950 3:00,9.669583,2.53625,23370.06,4.566667,16.030195
46,4/14/1950 3:00,10.027917,0.55291665,32827.668,0.7666667,12.246231
47,4/15/1950 3:00,8.477917,2.56125,11997.012,6.9666667,22.885473
48,4/16/1950 3:00,8.144583,2.6612499,13763.328,3.1333334,18.588646
49,4/17/1950 3:00,9.88625,0.3279167,39138.246,0.4666667,13.791692
50,4/18/1950 3:00,13.452916,0.31958327,38814.293,0.05,13.85259
51,4/19/1950 3:00,15.527916,3.3112497,42392.613,1.0666665,14.713818
52,4/20/1950 3:00,15.786251,6.2612495,30267.021,1.7499999,18.70661
53,4/21/1950 3:00,15.08625,6.2862496,15582.116,0.73333335,16.22326
54,4/22/1950 3:00,14.277916,7.219583,14532.523,4.7166667,16.459452
55,4/23/1950 3:00,11.102916,5.9112506,5211.4297,9.650001,16.14213
56,4/24/1950 3:00,10.877915,3.8529167,23881.389,5.05,17.532772
57,4/25/1950 3:00,7.6612496,1.0862501,32641.61,2.3833334,24.13234
58,4/26/1950 3:00,11.069584,0.35291663,32412.338,3.4166667,25.458626
59,4/27/1950 3:00,9.8445835,3.21125,37240.94,4.3333335,27.259405
60,4/28/1950 3:00,10.394583,2.78625,38342.746,4.0333333,27.493929
61,4/29/1950 3:00,10.586249,5.4529166,29057.943,3.4833333,26.30886
62,4/30/1950 3:00,15.344583,4.36125,30582.99,0.28333333,11.331258
63,5/1/1950 3:00,20.552917,6.0279164,47727,0,11.4436035
64,5/2/1950 3:00,19.927917,7.8279166,46635.953,1.4,13.75917
65,5/3/1950 3:00,14.977918,7.4862494,33248.004,6.983333,13.551132
66,5/4/1950 3:00,13.819584,6.019584,24032.494,1.35,10.581096
67,5/5/1950 3:00,14.56125,6.4695835,26755.986,8.433333,13.553196
68,5/6/1950 3:00,14.461249,7.68625,20472.291,3.7499998,11.365203
69,5/7/1950 3:00,17.202917,8.16125,32085.39,3.7500002,14.867951
70,5/8/1950 3:00,16.319584,8.219583,26836.133,0.41666666,12.380939
71,5/9/1950 3:00,19.177916,7.7862496,38727.332,0.43333337,16.355555
72,5/10/1950 3:00,19.53625,10.03625,49729.906,0,20.7043
73,5/11/1950 3:00,18.844584,8.777917,49899.766,0,17.680511
74,5/12/1950 3:00,21.202915,7.7112503,50121.637,0,14.844288
